"chapter","file","description","lines","has_main"
"cap09","repositorio_competitive/cap09/12-silent-junctions.cpp","Silent Junctions","39","yes"
"cap09","repositorio_competitive/cap09/13-reachability-ledger.cpp","Reachability Ledger","61","yes"
"cap09","repositorio_competitive/cap09/14-ancestral-observatory.cpp","Ancestral Observatory","138","yes"
"cap09","repositorio_competitive/cap09/15-royal-roads.cpp","Royal Roads","219","yes"
"cap09","repositorio_competitive/cap09/16-csr-vs-adjacency.cpp","CSR vs Adjacency Benchmark","65","yes"
"cap10","repositorio_competitive/cap10/01-primes.cpp","Primes","113","yes"
"cap10","repositorio_competitive/cap10/02-gcd-modular.cpp","Gcd Modular","114","yes"
"cap10","repositorio_competitive/cap10/03-combinatorics-mod.cpp","Combinatorics Mod","89","yes"
"cap10","repositorio_competitive/cap10/04-counting-representations.cpp","Counting Representations","105","yes"
"cap10","repositorio_competitive/cap10/05-square-free.cpp","Square Free","107","yes"
"cap10","repositorio_competitive/cap10/06-prime-archives.cpp","Prime Archives","44","yes"
"cap10","repositorio_competitive/cap10/07-common-rhythm.cpp","Common Rhythm","19","yes"
"cap10","repositorio_competitive/cap10/08-lantern-powers.cpp","Lantern Powers","32","yes"
"cap10","repositorio_competitive/cap10/09-divisor-ledger.cpp","Divisor Ledger","54","yes"
"cap10","repositorio_competitive/cap10/10-quiet-gears.cpp","Quiet Gears","50","yes"
"cap10","repositorio_competitive/cap10/11-inverse-chorus.cpp","Inverse Chorus","51","yes"
"cap10","repositorio_competitive/cap10/12-coprime-handshakes.cpp","Coprime Handshakes","59","yes"
"cap11","repositorio_competitive/cap11/01-counting.cpp","Counting","122","yes"
"cap11","repositorio_competitive/cap11/02-counting-dp.cpp","Counting Dp","72","yes"
"cap11","repositorio_competitive/cap11/03-derangements.cpp","Derangements","77","yes"
"cap11","repositorio_competitive/cap11/04-moon-staircase.cpp","Moon Staircase","20","yes"
"cap11","repositorio_competitive/cap11/05-ordered-crew.cpp","Ordered Crew","18","yes"
"cap11","repositorio_competitive/cap11/06-forbidden-square.cpp","Forbidden Square","65","yes"
"cap11","repositorio_competitive/cap11/07-misplaced-crowns.cpp","Misplaced Crowns","25","yes"
"cap11","repositorio_competitive/cap11/08-banner-arrangements.cpp","Banner Arrangements","54","yes"
"cap11","repositorio_competitive/cap11/09-forbidden-companions.cpp","Forbidden Companions","87","yes"
"cap11","repositorio_competitive/cap11/10-starlight-stalls.cpp","Starlight Stalls","80","yes"
"cap12","repositorio_competitive/cap12/01-kmp-z.cpp","Kmp Z","94","yes"
"cap12","repositorio_competitive/cap12/02-suffix-array.cpp","Suffix Array","83","yes"
"cap12","repositorio_competitive/cap12/03-trie.cpp","Trie","126","yes"
"cap12","repositorio_competitive/cap12/04-anagram-window.cpp","Anagram Window","97","yes"
"cap12","repositorio_competitive/cap12/05-aho-corasick.cpp","Aho Corasick","157","yes"
"cap12","repositorio_competitive/cap12/06-signal-echoes.cpp","Signal Echoes","41","yes"
"cap12","repositorio_competitive/cap12/07-clockwork-refrain.cpp","Clockwork Refrain","28","yes"
"cap12","repositorio_competitive/cap12/08-mirror-ledger.cpp","Mirror Ledger","34","yes"
